dmgTh,q,Ga,criteria,tC,acc
0.01,245.58,3.6030000000000034e-13,median,13.4063,0.6591564008356746
0.01,232.29,4.900000000000005e-14,mean,13.8305,0.6640062984346538
0.02,227.86,3.5650000000000036e-14,median,18.7,0.6651486615826361
0.02,219.01,2.1875000000000014e-14,mean,17.225,0.6631019276091676
0.03,232.29,4.900000000000005e-14,median,16.225,0.6654008047999835
0.03,219.01,2.1875000000000014e-14,mean,14.9188,0.6634801424351888
0.04,227.86,3.5650000000000036e-14,median,14.3,0.6654008047999835
0.04,223.45,2.742500000000001e-14,mean,13.9172,0.6649930017392736
0.05,219.01,2.1875000000000014e-14,median,13.75,0.665245144956621
0.05,219.01,2.1875000000000014e-14,mean,14.0219,0.6626941245484578
0.06,232.29,4.900000000000005e-14,median,14.3,0.6623159097224366
0.06,232.29,4.900000000000005e-14,mean,14.0313,0.6621898381137629
0.07,219.01,2.1875000000000014e-14,median,14.85,0.6587267282101948
0.07,219.01,2.1875000000000014e-14,mean,15.5,0.6587267282101948
0.08,219.01,2.1875000000000014e-14,median,13.75,0.6587267282101948
0.08,219.01,2.1875000000000014e-14,mean,14.275,0.6587267282101948
0.09,245.58,3.6030000000000034e-13,median,14.85,0.6561757078020316
0.09,245.58,3.6030000000000034e-13,mean,14.725,0.6559235645846841
0.1,219.01,2.1875000000000014e-14,median,13.2,0.6538768306112157
0.1,219.01,2.1875000000000014e-14,mean,13.575,0.6538768306112157
