q,dmgTh,Ga,criteria,tC,acc
129.53,0.03,2.9804687500000003e-15,median,11.8938,0.6241072013629513
129.53,0.07,2.9804687500000003e-15,mean,12.074,0.5874897438958844
134.53,0.1,3.4078125000000008e-15,median,12.1,0.5797206319649549
134.53,0.08,3.4078125000000008e-15,mean,12.2074,0.5861518775755836
139.53,0.03,3.9187500000000016e-15,median,12.5984,0.6258177245579273
139.53,0.03,3.9187500000000016e-15,mean,12.6384,0.6258177245579273
144.54,0.08,4.534375000000002e-15,median,12.65,0.5831826826712141
144.54,0.02,4.534375000000002e-15,mean,12.7395,0.6608215415773717
149.54,0.03,5.281250000000001e-15,median,13.0023,0.6254245655250985
149.54,0.04,5.281250000000001e-15,mean,13.111,0.6115409864271693
154.53,0.08,6.190625000000002e-15,median,13.2,0.5865846339138661
154.53,0.07,6.190625000000002e-15,mean,13.2516,0.5888467053634852
159.56,0.09,7.312500000000004e-15,median,13.1656,0.5839294034314181
159.56,0.09,7.312500000000004e-15,mean,13.3684,0.5840276931896252
164.54,0.07,8.668750000000003e-15,median,13.2,0.5902623592838395
164.54,0.06,8.668750000000003e-15,mean,13.3389,0.5917381126678011
169.54,0.07,1.0318750000000003e-14,median,13.3547,0.5896330234291427
169.54,0.04,1.0318750000000003e-14,mean,13.5122,0.6138221530240884
174.55,0.08,1.2300000000000003e-14,median,13.3031,0.581137692896163
174.55,0.01,1.2300000000000003e-14,mean,13.5764,0.7250859583130824
179.54,0.04,1.4625000000000007e-14,median,13.2773,0.6140583298459564
179.54,0.01,1.4625000000000007e-14,mean,13.4389,0.7214287351012625
